species.,species,image_file_name,image_type,color,primary.color,secondary.color,tertiary.color,quaternary.color,pattern,primary.patternattern,secondary.pattern,nape,scale_type,Venomous,Max_Size,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi.Arabia,Syria,UAE,Yemen,User
1,Atractaspis andersoni,Atractaspis_andersoni.jpg,,black ,black,,,,uniform ,uniform,,,smooth,x,900,,,,,,,,,,,,,x,gillian
2,Atractaspis engaddensis,Atractaspis_engaddensis.jpg,,black ,black,,,,uniform ,uniform,,,smooth,x,650,,,,x,x,,x,,,x,,,,gillian
2,Atractaspis engaddensis,Atractaspis_engaddensis2.jpg,,black ,black,,,,uniform ,uniform,,,smooth,x,650,,,,x,x,,x,,,x,,,,gillian
5,Bitis arietans,Bitis_arietans4.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,diamond spotted ,diamond,spotted,,keeled,x,1850,,,,,,,,x,,x,,,,gillian
5,Bitis arietans,Bitis_arietans8.jpg,,yellow darkbrown beige ,yellow,darkbrown,beige,,banded ,banded,,,smooth,x,1850,,,,,,,,x,,x,,,,gillian
5,Bitis arietans,Bitis_arietans_m.jpg,,black yellow lightgray ,black,yellow,lightgray,,banded ,banded,,,smooth,x,1850,,,,,,,,x,,x,,,,gillian
6,Boaedon fuliginosus,Boaedon_fuliginosus3.jpg,,brown lightbrown ,brown,lightbrown,,,striped ,striped,,,smooth,,1300,,,,,,,,,,,,,x,gillian
6,Boaedon fuliginosus,Boaedon_fuliginosus4.jpg,,darkgray ,darkgray,,,,uniform ,uniform,,,smooth,,1300,,,,,,,,,,,,,x,gillian
6,Boaedon fuliginosus,Lamprophis_fuliginosus.jpg,,darkgray ,darkgray,,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
7,Boaedon mentalis,Boaedon mentalis iNat o147690290.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,smooth,,1300,,,,,,,,,,,,,,gillian
7,Boaedon mentalis,Boaedon mentalis iNat p5417590.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,smooth,,1300,,,,,,,,,,,,,,gillian
8,Boiga trigonata,Boiga_trigonata.jpg,,brown darkbrown beige ,brown,darkbrown,beige,,banded ,banded,,,keeled,,1250,,x,,,,,,,,,,,,gillian
8,Boiga trigonata,Boiga_trigonata3.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,banded ,banded,,,keeled,,1250,,x,,,,,,,,,,,,gillian
8,Boiga trigonata,Boiga_trigonata4.jpg,,lightgray white darkgray ,lightgray,white,darkgray,,banded ,banded,,,keeled,,1250,,x,,,,,,,,,,,,gillian
8,Boiga trigonata,Boiga_trigonata5.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,banded ,banded,,,keeled,,1250,,x,,,,,,,,,,,,gillian
8,Boiga trigonata,Boiga_trigonata6.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,banded ,banded,,,smooth,,1250,,x,,,,,,,,,,,,gillian
9,Bungarus persicus,Abtin 2014 Bungarus persicus 1A.jpg,,black white ,black,white,,,blotched ,blotched,,,smooth,x,1190,,x,,,,,,,,,,,,gillian
9,Bungarus persicus,Abtin 2014 Bungarus persicus 2A.jpg,,black white ,black,white,,,blotched ,blotched,,,smooth,x,1190,,x,,,,,,,,,,,,gillian
10,Cerastes cerastes,Cerastes_cerastes1.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
10,Cerastes cerastes,Cerastes_cerastes2.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
10,Cerastes cerastes,Cerastes_cerastes3.jpg,,beige lightbrown ,beige,lightbrown,,,banded ,banded,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
10,Cerastes cerastes,Cerastes_cerastes7.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
10,Cerastes cerastes,Cerastes_cerastes8.jpg,,beige brown ,beige,brown,,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
10,Cerastes cerastes mutila,Cerastes_cerastes_mutila15.jpg,,beige brown ,beige,brown,,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
